2025-04-10 12:07:46,978 - INFO - Simulation started with 15 sheep and 50 rounds.
2025-04-10 12:07:52,129 - DEBUG - Sheep moved to (2.64, -0.73).
2025-04-10 12:07:52,129 - DEBUG - Sheep moved to (11.29, -4.16).
2025-04-10 12:07:52,130 - DEBUG - Sheep moved to (3.43, -9.96).
2025-04-10 12:07:52,130 - DEBUG - Sheep moved to (-7.53, 2.75).
2025-04-10 12:07:52,130 - DEBUG - Sheep moved to (6.88, 5.72).
2025-04-10 12:07:52,130 - DEBUG - Sheep moved to (-2.81, 3.08).
2025-04-10 12:07:52,130 - DEBUG - Sheep moved to (-7.82, 2.65).
2025-04-10 12:07:52,130 - DEBUG - Sheep moved to (-1.40, 9.49).
2025-04-10 12:07:52,131 - INFO - Wolf chasing sheep at (3.43, -9.96).
2025-04-10 12:07:52,168 - DEBUG - Round 19 started.
2025-04-10 12:07:52,169 - DEBUG - Sheep moved to (-8.49, -4.08).
2025-04-10 12:07:52,169 - DEBUG - Sheep moved to (-9.85, 8.21).
2025-04-10 12:07:52,169 - DEBUG - Sheep moved to (5.79, 9.15).
2025-04-10 12:07:52,169 - DEBUG - Sheep moved to (3.14, -0.73).
2025-04-10 12:07:52,169 - DEBUG - Sheep moved to (11.29, -3.66).
2025-04-10 12:07:52,169 - DEBUG - Sheep moved to (-7.53, 3.25).
2025-04-10 12:07:52,169 - DEBUG - Sheep moved to (6.38, 5.72).
2025-04-10 12:07:52,169 - DEBUG - Sheep moved to (-2.31, 3.08).
2025-04-10 12:07:52,169 - DEBUG - Sheep moved to (-7.82, 2.15).
2025-04-10 12:07:52,170 - DEBUG - Sheep moved to (-1.90, 9.49).
2025-04-10 12:07:52,170 - INFO - Wolf chasing sheep at (3.14, -0.73).
2025-04-10 12:07:52,209 - DEBUG - Round 20 started.
2025-04-10 12:07:52,209 - DEBUG - Sheep moved to (-8.49, -3.58).
2025-04-10 12:07:52,210 - DEBUG - Sheep moved to (-9.35, 8.21).
2025-04-10 12:07:52,210 - DEBUG - Sheep moved to (6.29, 9.15).
2025-04-10 12:07:52,210 - DEBUG - Sheep moved to (3.14, -1.23).
2025-04-10 12:07:52,210 - DEBUG - Sheep moved to (10.79, -3.66).
2025-04-10 12:07:52,210 - DEBUG - Sheep moved to (-7.53, 3.75).
2025-04-10 12:07:52,210 - DEBUG - Sheep moved to (6.38, 5.22).
2025-04-10 12:07:52,211 - DEBUG - Sheep moved to (-1.81, 3.08).
